idx,text,imgName
0,全ては筋肉のため by なかやまきんに君,src/data/img/knnkn-1.jpg
1,体脂肪を落とす事より、筋肉を付ける事の方が難しい by なかやまきんに君,src/data/img/knnkn-0.jpg
2,（筋トレ効果の実感について）３ヶ月で自分で気づき、６ヶ月で他人からも気づかれる by なかやまきんに君,src/data/img/knnkn-2.jpg
3,筋トレして体ができた時点で、もうめちゃめちゃ格好いいし、必ず何かが起こる by なかやまきんに君,src/data/img/knnkn-3.jpg
4,単純に筋トレが好き by なかやまきんに君,src/data/img/knnkn-4.jpg
5,筋トレは間違いない、こんなにかっこいいものはない by なかやまきんに君,src/data/img/knnkn-5.jpg
6,辛いことも楽しいことも、筋トレが教えてくれました by なかやまきんに君,src/data/img/knnkn-1.jpg
7,筋トレを長くやってると、筋肉痛が心地よくなってくる by なかやまきんに君,src/data/img/knnkn-0.jpg
8,脚のトレーニングが問題なく終わると安心する。次の日歩くのが辛いほどの筋肉痛が来るとさらに安心する by なかやまきんに君,src/data/img/knnkn-2.jpg
9,筋肉は裏切らないではなく「筋肉を裏切らない」 by なかやまきんに君,src/data/img/knnkn-3.jpg
10,笑いは取らないですが、水分はしっかり摂ります by なかやまきんに君,src/data/img/knnkn-4.jpg
